account_value,date,daily_return
<<<<<<< HEAD:results/account_value_trade_ensemble_567.csv
1028879.4793315354,2023-10-05,
1040209.4343440476,2023-10-06,0.011011936033434422
1048438.7785304489,2023-10-09,0.007911237789907988
1052269.5865626754,2023-10-10,0.0036538213872592262
1082489.740791191,2023-10-11,0.028719022781255488
1084799.9278940964,2023-10-12,0.0021341422609850724
1080837.562514061,2023-10-13,-0.0036526231963596167
1092044.2028552475,2023-10-16,0.010368477863703651
1090043.721932747,2023-10-17,-0.0018318680848908864
1081073.6754239579,2023-10-18,-0.008229070383419468
1071606.3866666337,2023-10-19,-0.008757302090083297
1046769.0079862138,2023-10-20,-0.023177706842229306
1044562.960494545,2023-10-23,-0.0021074826201749053
1050104.4056133805,2023-10-24,0.005305036966093413
1048068.0653735428,2023-10-25,-0.0019391788368396945
1035777.5566821366,2023-10-26,-0.011726822996964148
1016975.2534625322,2023-10-27,-0.01815283899357023
1029239.751763588,2023-10-30,0.012059780470860426
1023845.5435511552,2023-10-31,-0.005240963733852966
1038259.0737788164,2023-11-01,0.01407783656279693
1059549.9221104814,2023-11-02,0.020506296423854486
1071306.8054890824,2023-11-03,0.011096110842217621
1079487.1006413652,2023-11-06,0.007635809938263405
1079271.3669438553,2023-11-07,-0.00019984833295527693
1084747.3459248736,2023-11-08,0.005073773981908225
1064214.0352739336,2023-11-09,-0.018929118128823808
1081025.586707039,2023-11-10,0.015797152523719715
1077484.1256371539,2023-11-13,-0.0032760196552543697
1091439.3595818102,2023-11-14,0.012951684031914823
1101704.243083275,2023-11-15,0.009404905010387266
1102430.6597361376,2023-11-16,0.0006593572253381641
1096352.7899370347,2023-11-17,-0.005513153816456451
1103765.7939994584,2023-11-20,0.006761513383706896
1093070.432908043,2023-11-21,-0.009689882717474951
1102283.7373346179,2023-11-22,0.00842882960621627
1104379.2396325914,2023-11-24,0.0019010552609988185
1102492.5783555682,2023-11-27,-0.0017083454752833127
1111123.6585282977,2023-11-28,0.007828696847649752
1112316.426497185,2023-11-29,0.0010734790495479096
1123219.1936414263,2023-11-30,0.009801857533090264
1130502.1960344317,2023-12-01,0.006484043750529356
1126086.01609742,2023-12-04,-0.003906387756258067
1121070.1583522419,2023-12-05,-0.0044542403275382725
1110085.921287804,2023-12-06,-0.009797992554348878
1117230.3728304675,2023-12-07,0.00643594464685715
1115056.8771609117,2023-12-08,-0.0019454319560336941
1118055.4577105334,2023-12-11,0.00268917273283531
1128204.447987633,2023-12-12,0.009077358557760595
1146243.0846239855,2023-12-13,0.015988801204008585
1136153.73242672,2023-12-14,-0.008802105183976061
1142555.284592949,2023-12-15,0.005634406668326486
1147576.0696698534,2023-12-18,0.00439434760366364
1156825.0428342212,2023-12-19,0.008059573050376079
1141809.6315152515,2023-12-20,-0.012979846357908942
1156021.1504712452,2023-12-21,0.012446487193433553
1166200.0128156054,2023-12-22,0.008805083142476189
1166251.0315950855,2023-12-26,4.3747881083522344e-05
1171031.9438732837,2023-12-27,0.004099385251268961
1176234.4986035083,2023-12-28,0.004442709490073193
1175781.6219128345,2023-12-29,-0.0003850224519104106
1184432.9679211352,2024-01-02,0.007357953081649882
1187113.9607968067,2024-01-03,0.002263524359995772
1189569.5683407518,2024-01-04,0.0020685524937276156
=======
1172734.9636210257,2023-10-05,
1193457.778899651,2023-10-06,0.0176705017940626
1201082.7787577445,2023-10-09,0.006388998415280067
1201295.5903605276,2023-10-10,0.00017718312721393126
1219255.1743204885,2023-10-11,0.014950178876933062
1218189.6140879446,2023-10-12,-0.0008739435804631102
1217425.725663262,2023-10-13,-0.00062706857442274
1225105.2663477713,2023-10-16,0.0063080157767534395
1222803.5225016407,2023-10-17,-0.0018788131186411317
1212114.812481194,2023-10-18,-0.00874115082575122
1207755.1788096242,2023-10-19,-0.0035967167686414836
1184397.53090313,2023-10-20,-0.019339720761550105
1183904.5912791067,2023-10-23,-0.0004161944036201737
1185196.2990302052,2023-10-24,0.0010910573036151394
1181604.4747153248,2023-10-25,-0.003030573347064469
1172812.0141333546,2023-10-26,-0.007441119909509908
1154501.5051108326,2023-10-27,-0.015612484184903686
1168047.414180657,2023-10-30,0.011733123785337751
1180160.184796807,2023-10-31,0.010370101820435629
1186615.9673270192,2023-11-01,0.005470259557454726
1212634.4182487112,2023-11-02,0.021926597684591487
1220920.9955802541,2023-11-03,0.0068335330144351225
1230591.6472526174,2023-11-06,0.00792078415177655
1235437.1893363576,2023-11-07,0.003937571081811031
1240289.6188407522,2023-11-08,0.003927702311601333
1236324.929326592,2023-11-09,-0.0031965836478303755
1257146.4154105764,2023-11-10,0.016841435119589132
1251443.5737052541,2023-11-13,-0.0045363385166713455
1272288.3653312307,2023-11-14,0.01665659728009916
1283808.8404594045,2023-11-15,0.009054924529766195
1292774.764257012,2023-11-16,0.006983846438071817
1305551.0481315237,2023-11-17,0.009882838238921332
1313626.2470450979,2023-11-20,0.0061852800969608435
1307408.9214225393,2023-11-21,-0.004732948688064065
1313367.676946221,2023-11-22,0.004557683082962338
1312875.283208428,2023-11-24,-0.0003749092858276182
1310373.1477714162,2023-11-27,-0.0019058439663034443
1316437.5200248342,2023-11-28,0.00462797353847777
1321192.2550101858,2023-11-29,0.003611819712690867
1336252.3795829397,2023-11-30,0.011398889537569845
1348199.2347770315,2023-12-01,0.008940567947067324
1347815.2168326955,2023-12-04,-0.0002848376815756115
1350038.7941642385,2023-12-05,0.0016497642286368297
1334694.398076592,2023-12-06,-0.011365892709139236
1342790.6991019826,2023-12-07,0.006066033570724549
1351731.0848746877,2023-12-08,0.006658063522992919
1348804.4716239553,2023-12-11,-0.002165085410463674
1362964.0066886526,2023-12-12,0.010497841134563535
1379129.920507012,2023-12-13,0.011860851599181155
1399830.2574821096,2023-12-14,0.015009707691272078
1407022.7807975393,2023-12-15,0.0051381396258478595
1412363.453496514,2023-12-18,0.003795725820407325
1429319.3232474905,2023-12-19,0.012005316130915045
1406853.002965508,2023-12-20,-0.015718195309175398
1419170.0495658498,2023-12-21,0.00875503451631321
1418356.5433707815,2023-12-22,-0.0005732267217147813
1421837.0563407522,2023-12-26,0.0024539055333006043
1428233.1474662405,2023-12-27,0.004498469847135089
1434084.139318047,2023-12-28,0.0040966643731708
1430245.0354667287,2023-12-29,-0.0026770422641616554
1426136.837102471,2024-01-02,-0.002872373797764838
1416214.1942802053,2024-01-03,-0.006957707398138391
1418956.9252677541,2024-01-04,0.0019366639584790235
>>>>>>> 2e15bbbd54a88aa85ac0c48349edde475eb639a9:experiments/results/account_value_trade_ensemble_567.csv
